question	correct_answer_keywords
eiffel Tower is in Oaxaca, Mexico?	Paris;France
eggs are vegan? 
there are 6581 dog breeds?	
gold can be made from sand? 
there are several known stargates located around the world? 
pizza was invented in Denmark, Aarhus?	
the sun gets cold in the winter?	
leonardo Da Vinci was actually Australian?	Italy;Italian
france invaded Russia in 1985?	
a group of peacocks is called a gala? Party
the average newborn baby is one quarter of the weight of a rhinoceros?	
astronauts have been to the moon 28 times?	
there was a secret Ninja Turtle called Orthello?	
there are pizza trees in Bologna, Italy?	
when it rains the sky opens up? 
when apples fall from trees they turn into nuts?	
pillows were used in WW2 as defense? 
eating grapefruits can cause back pain? 
soda cans are see-through for cats? 
books are made out of pencils?	
